urn,author,title,year,lang,url
2012032024118,"Ellis, Edward S.","Paa Amazonfloden, eller To gutters eventyr i Brasilien",1906,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2012032024118
2016101929002,"Bang, Maren Elisabeth",Ny og fuldstændig Landhusholdningsbog,1844,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2016101929002
2011070508057,"Berg, C.",Vor ABC's historie,1871,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2011070508057
2009052913002,"Skard, Matias",Undervisningsplan for folkeskoler paa landet,1890,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2009052913002
2013110724001,"Strøm, H.C.","Techniske og historiske Betragtninger af Principerne for,samt Forslag til en Bergværkslov i Kongeriget Norge",1830,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2013110724001
2016040508049,"Geijerstam, Gustaf af",Farlige magter,1907,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2016040508049
2014061108162,"Smiles, Samuel",Karakteren,1876,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2014061108162
2006112001020,"Storm, Joh.",Norsk Retskrivning,1904,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2006112001020
2016101226001,,Christelige Bønner og Psalmer,1847,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2016101226001
2016101928002,"Bang, Maren Elisabeth","Kokkepigen, eller Anvisning til fin og simpel Madlavning for norske Huusholdninger",1844,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2016101928002
2009020200062,"Klingenberg, Th. O.",Veiledning i simpel Regnskabsførsel med Exempler og Opgaver,1902,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2009020200062
2009013000003,,Festskrift ved Aars og Voss's skoles gymnasiesamfund Fremad´s 30-aars-jubilæum 1867-1897,1897,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2009013000003
2012101007037,"Appia, G.",Martyrer i China under de sidste uroligheder,1902,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2012101007037
2011060804026,"Utne, A.",Begyndelsen til en kortfattet Lærebog i Artihmetik,1870,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2011060804026
2014102408006,,Bibel-ordbog,1896,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2014102408006
2011100423030,"Børresen, Jacob",Tordenskiold,1901,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2011100423030
2006111600004,"Laache, N.J.",Husandagts-Bog,1883,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2006111600004
2008111912002,"Jæger, Hans",Anarkiets bibel,1906,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2008111912002
2013060608086,,Gjertsens skole,1889,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2013060608086
2008090104090,"Færden, And.",Praktisk juridisk formularbog,1906,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2008090104090
2008060613030,"Bjørnson, Bjørnstjerne",P.A. Munch,1863,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2008060613030
2009072903001,,Indbydelsesskrift til den offentlige Examen,1863,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2009072903001
2015101448004,"Daae, Ludvig",Professor Ludvig Caesar Martin Aubert,1887,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2015101448004
2011050604100,,"Om de internationale konventioner angaaende ægteskabs indgaaelse, skilsmisse og separation samt værgemaal for umyndige",1903,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2011050604100
2008040204077,"Geelmuyden, I.",Lærebog i Geografien,1882,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2008040204077
2014070708070,"Corvin, Otto von",Pavespeilet,1891,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2014070708070
2011110708189,"Beyschlag, Willibald",seirende kristen,1898,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2011110708189
2014082608036,"Farquhar, Barbara H.","Dagenes Perle, eller Søndagens betydning, med særligt hensyn paa de arbeidende Klasser",1888,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2014082608036
2009080703015,"Arentz, H.","Om Functionen I'm, især med Hensyn til dens numeriske Evaluation",1850,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2009080703015
2008093010004,"Glad, Chr.",Udkast til et Reglement for Hugning ved Cavaleriet,1851,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2008093010004
2011101223006,"Dickmar, Helene",Korsvei,1901,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2011101223006
2010030903075,"Brun, Johan Christopher",Tabeller ved Forsøget til 40 Original-Musiknummer for Zionsharpen,1853,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2010030903075
2008082902003,,Matrikul for ... Thinglag ifølge Lov av 17de December 1836,1838,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2008082902003
2008072312007,"Bjørnson, Bjørnstjerne",hanske,1883,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2008072312007
2008030710007,"Falsen, C.M.",Norges Odelsret med Hensyn paa Rigets Constitution,1815,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2008030710007
2009020500037,"Øverland, O.A.",Norske historiske Fortællinger,1897,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2009020500037
2011110806044,"Morburger, Carl",Knut Hamsun,1910,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2011110806044
2010120705033,,Indbydelsesskrift til den offentlige Examen i Christiania Kathedralskole,1884,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2010120705033
2009042712002,"Krag, Vilhelm",Marianne,1899,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2009042712002
2012091408154,"Egge, Peter",Samlede folkelivsskildringer,1909,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2012091408154
2014082508211,"Heiligenthal, Franz",mekaniske Gymnastik,1885,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2014082508211
2012070508057,,Havne-Reglement for Trondhjem,1906,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2012070508057
2009092413005,"Nansen, Fridtjof",dagens spørsmaal,1909,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2009092413005
2013041526003,"Hald, A.",Om Baldandse i Almindelighed og nyeste Franske Quadriller samt Françaiser i Særdeleshed,1837,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2013041526003
2015041608154,,Kongekroningen 1906,1906,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2015041608154
2008071104038,"Stave, O.",Retskrivnings- og Stiløvelser i Modersmaalet til Skolebrug,1867,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2008071104038
2015092428003,,Kongeriget Norges Grundlov,1830,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2015092428003
2011081720011,"Cholmondeley, Mary",Det korte Straa,1900,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2011081720011
2009092303046,"Platou, Ludv. Stoud",Ludv. Stoud Platou's Lærebog i Historien,1830,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2009092303046
2011051112003,,29de ordentlige Storthings Beslutninger til Toldtarifer fra 1ste Juli 1880,1880,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2011051112003
2012041608138,"Flood, Johs.",Japan,1886,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2012041608138
2012042008084,"Vold, Karl",De bibelske religioner og religionsforskningen,1910,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2012042008084
2008102912003,"Asbjørnsen, P. Chr.",Norske Folke-Eventyr,1876,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2008102912003
2012022712001,"Dahle, Lars",Svar paa Indvendinger og Angreb,1900,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2012022712001
2016050948096,"Petersen, C.T.",Navigations-Tabeller,1891,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2016050948096
2009063010002,"Ring, Ole",Om det suspensive Veto ved Grundlovsforandringer,1880,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2009063010002
2014051308207,,Lov om Vexler af 7de Mai 1880 samt Lov over Rettergangsmaaden i Vexelsager m.V. af 17de Juni 1880,1888,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2014051308207
2014080608150,,Beskrivende Katalog over den kulturhistoriske Udstillings Arkitekturafdeling,1901,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2014080608150
2010100712007,,Reglement for felttelegrafen,1899,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2010100712007
2013102407312,"Arentz, H.S. (Hans Severin)",Professor og Rector Fredrich Christian Holberg Arentz's Biographie,1827,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2013102407312
2008040904063,"Schjoldager, Dorothea",Illustreret bibelhistorie,1896,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2008040904063
2009120413002,"Platou, J.M.",Forklaring af Mattæus-evangeliet til skolebrug,1890,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2009120413002
2008040804086,,Lov om folkeskolen i kjøpstæderne av 26. juni 1889,1910,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2008040804086
2008090302002,"Bunyan, John","himmelske Løber, eller en Beskrivelse over et Menneske, som tragter efter Himmelen og opnaar den",1849,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2008090302002
2008091800077,"Hoff, O.U..","Lærebog i kirkehistorie, nærmest til brug i folkeskolen",1890,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2008091800077
2014060408085,"Brøgger, A.W.",norsk ravfund fra stenalderen,1908,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2014060408085
2008120412002,"Noel, Augusta",Fra Slægt til Slægt,1883,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2008120412002
2012102308083,"Thue, Axel",Om en generel i store hele tal uløsbar ligning,1908,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2012102308083
2012031324033,"Trowbridge, J.T.",Rødfinken,1908,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2012031324033
2009092303050,"Holmsen, A.",Lærebog i naturlære for folkeskolen,1901,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2009092303050
2012022305029,,Norges matrikel,1907,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2012022305029
2014090408053,"Schjøth, Hans",Lærebog i verdenshistorien for middelskolen,1883,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2014090408053
2015012808012,"Olsen, Kristian Magnus",Reisekammerat for Amerikafarere,1881,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2015012808012
2014081508345,,Vejledning for Læger ved Beskrivelser af Legemsskader,1901,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2014081508345
2014030308180,"Wieselgren, Sigfrid",Allians eller isolering?,1902,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2014030308180
2006080900011,"Krogh, G.",Lærebog i Praktisk Regning efter det nye Mynt- Maal- og Vægtsystem,1876,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2006080900011
2008092410001,,"Skibs-Artikler saavel for Over- og Under-Officerer, som for Alle og Enhver, Gemene og andre, der fare paa de Coffardie-Skibe, som seile til Vest-Indien, Guinea, samt Middelhavet, eller paa lange Reiser om de Vest",1826,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2008092410001
2008120910006,"Ullitz, J.F.",Et Blad eller Meninger fremsatte i Anledning af Hr. Overkrigscommissair Sebbelows Forslag for Nationalbank,1818,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2008120910006
2015042708031,"Hansen, M.",Zions Feltsange,1889,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2015042708031
2008100803010,,"Rescripter, Resolutioner og Collegial-Breve for Kongeriget Norge i Tidsrummet fra 1660-1813",1847,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2008100803010
2010101412004,"Murray, Andrew",Ydmyghed,1899,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2010101412004
2008040300017,,Nærmere bestemmelser angaaende statsseminarier og lærerprøver,1891,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2008040300017
2006111500034,,"Bibelen, eller Den hellige Skrift",1865,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2006111500034
2016050948024,"Geelmuyden, I.",Lærebog i Geografien,1874,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2016050948024
2008122310001,"Möllhausen, Balduin",Piratløitnanten,1875,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2008122310001
2009020400115,"Fjørtoft, I.A.",Bibelhistorie for folkeskolens lavere klasser,1889,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2009020400115
2011072720009,"Scott, Gabriel",Hellig tre konger,1900,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2011072720009
2008041710006,"Helland, Amund",De mægtigste og ædleste kismasser i Norge,1873,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2008041710006
2009082412001,,Udkast til Lov om Medicinalvæsenet i Norge med Motiver,1844,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2009082412001
2010070605063,,Langt ud,1903,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2010070605063
2011121224065,"Norby, Christine",Blandt smaafolk,1902,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2011121224065
2008090900105,,Brudstykker af græske Forfattere,1878,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2008090900105
2012050912001,"Riverton, Stein",Mennesketyveri,1908,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2012050912001
2010030903076,"Munch, P.A.",Snorre Sturlassøns norske Kongers Sagaer,1857,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2010030903076
2016102008061,Adam,Manden skabt af konen,1907,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2016102008061
2014080108017,"Larsen, Hermann",Kort Uddrag af den norske Grammatik,1877,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2014080108017
2014072808045,"Talmage, T. de Witt",Ægteskabet og Familielivet,1888,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2014072808045
2008040904027,,Syv norske digtere fra forrige aarhundrede,1897,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2008040904027
2010070520016,Margrethe,Doktorens pleiedatter,1899,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2010070520016
2014071528001,"Schmettow, Carl Jacob Woldemar von",Af Grev Schmettow's Correspondance,1864,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2014071528001
2008012203002,"Asbjørnsen, P. Chr.",Barne-eventyr,1909,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2008012203002
2011021012010,,Wilhelm Tell,1899,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2011021012010
2009012800131,"Berg, C.F.",Kontor-Assistenten,1873,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2009012800131
2010052606067,,Indstilling fra den under 5te September 1903 nedsatte departementale Toldtarifkomité,1904,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2010052606067
2014110426010,"Francke, August Hermann",Prædiken over vor christelige Troes anden Artikel,1859,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2014110426010
2008082004112,"Anderssen, Otto",Indledning til den franske revolution,1902,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2008082004112
2014102108041,,Aktstykker angaaende revision af foreningen,1862,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2014102108041
2015101426003,,Fortegnelse over de National-Galleriet tilhørende Malerier og Billedhugger-Arbeider,1871,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2015101426003
2006111600027,"Gilman, Charlotte Perkins",Hjemmet,1905,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2006111600027
2009041603020,"Merriman, H.S.",Sædemænd,1897,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2009041603020
2009022603005,"Kravik, Henrik",Numedalsfolk,1897,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2009022603005
2012100108048,"Pedersen, H.P.","Praktiske Beregningstabeller for skaaren, uhøvlet og høvlet Trælast samt Splitved, Stik, Stav og hollandske Bjælker",1878,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2012100108048
2012032024129,"Sevaldsen, Amanda",Karfolk,1906,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2012032024129
2014111308191,"Reusch, Hans",Norges forhold til Sverige fra et geografisk synspunkt,1905,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2014111308191
2012032024128,"Myhrslo, J.",Lille Frits Grande,1907,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2012032024128
2008040104059,"Nielsen, Yngvar",Fire Foredrag over Norges Friheds Historie i 1814,1897,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2008040104059
2012073108045,,Fortegnelse over Undervisnings-materiel,1900,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2012073108045
2010070605136,,Beretning om Det almindelige Landbrugsmöde i Christiania,1877,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2010070605136
2016070848070,"Erken, Henriette Schønberg",Kogebog for sparsommelige husmødre i by og bygd,1905,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2016070848070
2012052204031,"Luther, Martin",Dr. Martin Luthers Fortaler til Skrifterne i Det gamle og nye Testamente,1832,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2012052204031
2006081600054,"Lie, Jonas",Dyre Rein,1896,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2006081600054
2006112201007,"Caspari, Karl Heinrich",Kristen og Jøde,1886,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2006112201007
2012062006137,,Responsa,1904,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2012062006137
2006111500057,"Munch, A.",Samlede Skrifter,1890,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2006111500057
2016101908003,"Berg, Olaf",Sund og usund Livsforsikring,1903,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2016101908003
2011081620002,"Hovdan, Bernt",Kortfattet oversigt over den Norske rusdriklovgivnings historie,1900,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2011081620002
2010092712003,"Guldbrandsen, T.",Fra mine Europareiser,1899,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2010092712003
2014102108160,"Beyschlag, Willibald",Godofred,1897,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2014102108160
2006112900019,,es land og folk,1908,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2006112900019
2013121326001,"Ibsen, Lars Møller",Favorit Arie af De lystige Passagerer,1826,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2013121326001
2006111701030,"Christensen, Odin T.",Populær Kemi,1899,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2006111701030
2014031708004,"Holmboe, M.",Hvilke opgaver stiller kampen mot tuberkulosen?,1909,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2014031708004
2014011608187,"Barth, Agnar",De for skog og mark skadelige og nyttige pattedyr,1898,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2014011608187
2014021807246,"Bjørnson, Bjørnstjerne",Sigurd Slembe,1870,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2014021807246
2012080924022,"Aagaard, Aage",Larvik og omegns industri og næringsliv i tekst og bilder,1906,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2012080924022
2013042608100,"Lindeqvist, Johan",Indberetning til Departementet for det Indre angaaende de offentlige Foranstaltninger til Husdyravlens Fremme for Aaret 1864,1865,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2013042608100
2014031808059,"Weitbrecht, G.",Er med døden alt forbi?,1879,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2014031808059
2015061048108,"Molbech, Christian",Breve fra Sverrige i aaret 1812,1814,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2015061048108
2012020608021,"Solheim, Henrik",Tegninger til metalarbeide for begyndere,1910,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2012020608021
2009082103002,,"Beretning om Landbrugsmødet i Eidsvold, der afholdtes den 1ste, 2den og 3die Juli 1852",1853,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2009082103002
2009043010003,"Guldberg, Gustav",Skeletfundet paa Rør i Ringsaker og Rør kirke,1895,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2009043010003
2009062913005,,Adresse fra Norges Rigsforsamling angaaende Norges Krones Overdragelse til Hans Majestæt Kong Christian Frederik,1814,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2009062913005
2008080600017,,Norske digte,1899,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2008080600017
2006111501038,"Getz, B.",Om en forandret Rettergangsmåde i Straffesager,1885,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2006111501038
2007050812003,"Undset, Sigrid",Fortællingen om Viga-Ljot og Vigdis,1909,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2007050812003
2006112300013,"Tavaststjerna, Karl A.",I forbund med døden,1894,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2006112300013
2013060708111,"Berg, C.F.","Mynt, Vexelvæsen, Maal, Vægt m.m. i de forskjellige Lande",1879,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2013060708111
2009081403017,"Herre, Bernhard",Jægers Erindringer,1864,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2009081403017
2013082008035,"Stinde, Julius",Hr. og Fru Buchholz i Italien,1887,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2013082008035
2008060612004,"Broch, O.J.",Beretning om den internationale Meterkommissions Møde i Paris 24 Septbr.-12 Octbr. 1872,1874,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2008060612004
2014031808007,"Luther, Martin",Dr. Mart. Luthers aandrige og kraftfulde Prædikener om Guds Søns Manddoms Annammelse og Fødsel til Verden,1856,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2014031808007
2009020600080,"Vogt, Volrath",Bibelhistorie for Almueskolerne i Byerne,1882,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2009020600080
2013042608041,"Edersheim, Alfred",Mirjam Rosenbaum,1892,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2013042608041
2008110510007,"Asbjørnsen, P. Chr.",Om Kaffeen,1861,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2008110510007
2006111701036,"Bjørlykke, K.O.",Lærebog i geologi,1902,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2006111701036
2016030326002,"Bang, Maren Elisabeth","Huusholdningsbog for Almuen, indeholdende Anviisning til paa bedste og billigste Maade at tillave de paa Landet brugelige Retter, saavel til Hverdags som til Gjestebude",1843,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2016030326002
2011120524011,"L'orange, H.P.",Veiledning i terrænget for yngre officerer og underbefalingsmænd,1902,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2011120524011
2010030903091,"Ziener, P.A.","Nogle ord til forældre, der ønske sønner anbragte ved Handelen",1854,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2010030903091
2014082208166,,Historiske Skrifter tilegnede og overleverede Professor Dr. Ludvig Daae paa hans syttiende Fødselsdag den syvende December 1904,1904,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2014082208166
2009020503016,"Broch, Chr.",Norsk og dansk litteraturhistorie for gymnasiet og pigeskolernes høiere klasser,1897,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2009020503016
2015012008065,"Schjøtt, Mathilde",Alexander Lange Kielland,1904,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2015012008065
2011062208105,"Tannæs, A.",Bidrag til Sandhedens Forsvar,1846,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2011062208105
2008013110013,"Lochmann, F.",nyere Hygiene,1873,nob,https://urn.nb.no/URN:NBN:no-nb_digibok_2008013110013
